Time [s],P1 [kPa],P2 [kPa],P3 [kPa]
0.0,60.05286827052939,24.83645155115929,30.8430652984617
0.01,59.17387166284731,41.37634133148966,31.00446185107083
0.02,58.47086609575174,53.553728420857496,32.225867215957734
0.03,57.965947706868505,58.8056398815956,34.9911410791181
0.04,57.55518136731544,57.20162191337718,39.06197481850486
0.05,57.09161203789317,50.990767224503344,43.66080255095938
0.06,56.371358376019344,43.22904558722615,47.86209544271259
0.07,55.1152666702945,36.35128818139206,50.93738639458225
0.08,53.12976828475069,31.410638095534164,52.520791809059595
0.09,50.55589696617781,28.203983741358712,52.61530132173732
0.1,47.931452693049145,26.05977500883479,51.48850776009941
0.11,45.98307600377709,24.778803534636765,49.49074743264325
0.12,45.290722533360714,25.088434892609154,46.8859550489372
0.13,45.96657006955605,28.202110499869594,43.81296035922987
0.14,47.466584919775215,34.728399973491605,40.389759417568875
0.15,48.71328217792946,43.76665807998251,36.86944391049158
0.16,48.628049161269075,52.943949135065274,33.75091332119836
0.17,46.832134402009544,59.41804411746415,31.74928567835619
0.18,43.97838930588069,61.19732458191633,31.531518503849654
0.19,41.366411292112915,58.061382573067036,33.24247499806801
0.2,40.113477412090774,51.732168088788484,36.09069224827215
0.21,40.54661704695434,45.27127233386257,38.40733859389183
0.22,42.209273689992315,41.86069059857774,38.37026325972167
0.23,44.28992150462812,43.35602930539093,35.05987369581491
0.24,46.02257861449723,49.268785636613636,29.124341142664335
0.25,46.841845507291545,56.82646072186201,22.509066983274767
0.26,46.422212031343186,62.269919278300634,17.449887158287822
0.27,44.80003314434839,62.793753883644875,15.567393670598573
0.28,42.53776830479698,58.0363733039714,17.627354676845304
0.29,40.65775679221587,50.220155081614,23.648339255354344
0.3,40.198441900974494,42.886641110256534,32.76894995142568
0.31,41.6844983151342,39.047371526550776,42.978818869810425
0.32,44.99654573580825,39.822772860941484,51.44394913802094
0.33,49.68237690348287,44.21625258218904,55.79608553768636
0.34,55.1857901053425,49.97725914919683,55.67147674069277
0.35000000000000003,60.63153695896569,54.92419464983356,53.150516495291136
0.36,64.56880495705568,57.89248994067966,51.481763104478745
0.37,65.39170644508347,58.80863035957745,53.01717730220145
0.38,62.477000972920024,58.09996795328472,57.992926104998595
0.39,57.104323578959644,56.16302482371322,64.90415471605863
0.4,52.103512701888626,53.382653841815895,71.79328956345573
0.41000000000000003,50.20506495618499,50.41063032116058,77.24260738952172
0.42,52.27005312065369,48.040264663471525,80.48690435527408
0.43,56.73095321527774,46.5916589403506,81.02317271829376
0.44,60.61015648011198,45.49156094813336,78.47117198580008
0.45,61.36784811828305,43.655106877276204,72.928214746058
0.46,58.384031340010466,40.441734445947525,65.31186273352465
0.47000000000000003,53.24159008877425,36.332999419264645,57.16835882970722
0.48,48.8277077938561,32.71203083656716,50.091607182892645
0.49,47.964357271146504,30.958950789552354,45.23568077888682
0.5,52.27565294812026,31.687899151517755,43.07664069653376
0.51,61.5337177556909,34.71996791160035,43.3011521731306
0.52,73.49113608001738,39.54492505516077,44.83980557615157
0.53,84.34862542087512,45.52192517060885,46.181728336518525
0.54,90.0,51.55205870745751,45.96105054102746
0.55,87.73645057508779,55.875635902009975,43.63740997943283
0.56,77.58144707240795,56.77105786183066,39.96098652370928
0.5700000000000001,62.46601533196957,53.907050363186755,36.78657260104318
